region,profession,year,workforce_supply
Northern,Other Practitioners,2032,250.4
Vancouver Coastal,General Practitioners,2032,1666.41
Vancouver Coastal,Medical Specialists,2032,2211.03
Vancouver Coastal,Other Practitioners,2032,2235.13
Vancouver Island,General Practitioners,2032,1799.25
Vancouver Island,Medical Specialists,2032,1207.33
Vancouver Island,Other Practitioners,2032,2087.67
Fraser,General Practitioners,2033,2400.05
Fraser,Medical Specialists,2033,1679.67
Fraser,Other Practitioners,2033,2940.34
Interior,General Practitioners,2033,1831.96
Interior,Medical Specialists,2033,1100.37
Interior,Other Practitioners,2033,2071.86
Northern,General Practitioners,2033,397.97
Northern,Medical Specialists,2033,185.29
Northern,Other Practitioners,2033,253.14
Vancouver Coastal,General Practitioners,2033,1652.71
Vancouver Coastal,Medical Specialists,2033,2192.85
Vancouver Coastal,Other Practitioners,2033,2216.75
Vancouver Island,General Practitioners,2033,1826.99
Vancouver Island,Medical Specialists,2033,1225.94
Vancouver Island,Other Practitioners,2033,2119.85
Fraser,General Practitioners,2034,2468.43
Fraser,Medical Specialists,2034,1727.52
Fraser,Other Practitioners,2034,3024.11
Interior,General Practitioners,2034,1881.41
Interior,Medical Specialists,2034,1130.07
Interior,Other Practitioners,2034,2127.78
Northern,General Practitioners,2034,402.01
Northern,Medical Specialists,2034,187.16
Northern,Other Practitioners,2034,255.7
Vancouver Coastal,General Practitioners,2034,1639.58
Vancouver Coastal,Medical Specialists,2034,2175.44
Vancouver Coastal,Other Practitioners,2034,2199.15
Vancouver Island,General Practitioners,2034,1853.41
Vancouver Island,Medical Specialists,2034,1243.66
Vancouver Island,Other Practitioners,2034,2150.5
Fraser,General Practitioners,2035,2539.13
Fraser,Medical Specialists,2035,1777.0
Fraser,Other Practitioners,2035,3110.72
Interior,General Practitioners,2035,1931.22
Interior,Medical Specialists,2035,1159.99
Interior,Other Practitioners,2035,2184.12
Northern,General Practitioners,2035,405.56
Northern,Medical Specialists,2035,188.82
Northern,Other Practitioners,2035,257.96
Vancouver Coastal,General Practitioners,2035,1623.15
Vancouver Coastal,Medical Specialists,2035,2153.63
